contenu_textuel_extrait,contenu_textuel_nettoye,tokens,stemmed_tokens,lemmatized_tokens
Generation and application of immortalized sheep fetal fibroblast cell line.,generation and application of immortalized sheep fetal fibroblast cell line,"['generation', 'and', 'application', 'of', 'immortalized', 'sheep', 'fetal', 'fibroblast', 'cell', 'line']","['gener', 'and', 'applic', 'of', 'immort', 'sheep', 'fetal', 'fibroblast', 'cell', 'line']","['generation', 'and', 'application', 'of', 'immortalized', 'sheep', 'fetal', 'fibroblast', 'cell', 'line']"
"Du G, Zhang C, Cao X, Li L, Zhang Y, Shang Y, Wu J.",du g zhang c cao x li l zhang y shang y wu j,"['du', 'g', 'zhang', 'c', 'cao', 'x', 'li', 'l', 'zhang', 'y', 'shang', 'y', 'wu', 'j']","['du', 'g', 'zhang', 'c', 'cao', 'x', 'li', 'l', 'zhang', 'y', 'shang', 'y', 'wu', 'j']","['du', 'g', 'zhang', 'c', 'cao', 'x', 'li', 'l', 'zhang', 'y', 'shang', 'y', 'wu', 'j']"
"Du G, et al.",du g et al,"['du', 'g', 'et', 'al']","['du', 'g', 'et', 'al']","['du', 'g', 'et', 'al']"
BMC Vet Res. 2024 May 14;20(1):198. doi: 10.1186/s12917-024-04054-3.,bmc vet res 2024 may 14201198 doi 101186s12917024040543,"['bmc', 'vet', 'res', '2024', 'may', '14201198', 'doi', '101186s12917024040543']","['bmc', 'vet', 're', '2024', 'may', '14201198', 'doi', '101186s12917024040543']","['bmc', 'vet', 're', '2024', 'may', '14201198', 'doi', '101186s12917024040543']"
BMC Vet Res. 2024.,bmc vet res 2024,"['bmc', 'vet', 'res', '2024']","['bmc', 'vet', 're', '2024']","['bmc', 'vet', 're', '2024']"
PMID: 38745180,pmid 38745180,"['pmid', '38745180']","['pmid', '38745180']","['pmid', '38745180']"
Free PMC article.,free pmc article,"['free', 'pmc', 'article']","['free', 'pmc', 'articl']","['free', 'pmc', 'article']"
"See all ""Cited by"" articles",see all cited by articles,"['see', 'all', 'cited', 'by', 'articles']","['see', 'all', 'cite', 'by', 'articl']","['see', 'all', 'cited', 'by', 'article']"
References,references,['references'],['refer'],['reference']
"Sung H., Ferlay J., Siegel R.L., Laversanne M., Soerjomataram I., Jemal A., Bray F. Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries. CA Cancer J. Clin. 2021;71:209–249. doi: 10.3322/caac.21660.",sung h ferlay j siegel rl laversanne m soerjomataram i jemal a bray f global cancer statistics 2020 globocan estimates of incidence and mortality worldwide for 36 cancers in 185 countries ca cancer j clin 202171209249 doi 103322caac21660,"['sung', 'h', 'ferlay', 'j', 'siegel', 'rl', 'laversanne', 'm', 'soerjomataram', 'i', 'jemal', 'a', 'bray', 'f', 'global', 'cancer', 'statistics', '2020', 'globocan', 'estimates', 'of', 'incidence', 'and', 'mortality', 'worldwide', 'for', '36', 'cancers', 'in', '185', 'countries', 'ca', 'cancer', 'j', 'clin', '202171209249', 'doi', '103322caac21660']","['sung', 'h', 'ferlay', 'j', 'siegel', 'rl', 'laversann', 'm', 'soerjomataram', 'i', 'jemal', 'a', 'bray', 'f', 'global', 'cancer', 'statist', '2020', 'globocan', 'estim', 'of', 'incid', 'and', 'mortal', 'worldwid', 'for', '36', 'cancer', 'in', '185', 'countri', 'ca', 'cancer', 'j', 'clin', '202171209249', 'doi', '103322caac21660']","['sung', 'h', 'ferlay', 'j', 'siegel', 'rl', 'laversanne', 'm', 'soerjomataram', 'i', 'jemal', 'a', 'bray', 'f', 'global', 'cancer', 'statistic', '2020', 'globocan', 'estimate', 'of', 'incidence', 'and', 'mortality', 'worldwide', 'for', '36', 'cancer', 'in', '185', 'country', 'ca', 'cancer', 'j', 'clin', '202171209249', 'doi', '103322caac21660']"
-,,[],[],[]
DOI,doi,['doi'],['doi'],['doi']
-,,[],[],[]
PubMed,pubmed,['pubmed'],['pubm'],['pubmed']
"GLOBOCAN 2020 Estimated Number of Incident Cases and Deaths Worldwide, Females, All Ages (excl. NMSC) [(accessed on 14 April 2022)]. Available online: https://gco.iarc.fr/today/online-analysis-multi-bars?v=2020&mode=cancer&....",globocan 2020 estimated number of incident cases and deaths worldwide females all ages excl nmsc accessed on 14 april 2022 available online,"['globocan', '2020', 'estimated', 'number', 'of', 'incident', 'cases', 'and', 'deaths', 'worldwide', 'females', 'all', 'ages', 'excl', 'nmsc', 'accessed', 'on', '14', 'april', '2022', 'available', 'online']","['globocan', '2020', 'estim', 'number', 'of', 'incid', 'case', 'and', 'death', 'worldwid', 'femal', 'all', 'age', 'excl', 'nmsc', 'access', 'on', '14', 'april', '2022', 'avail', 'onlin']","['globocan', '2020', 'estimated', 'number', 'of', 'incident', 'case', 'and', 'death', 'worldwide', 'female', 'all', 'age', 'excl', 'nmsc', 'accessed', 'on', '14', 'april', '2022', 'available', 'online']"
"Bryś M., Laskowska M., Forma E., Krześlak A. Telomeraza—Struktura i Funkcja Oraz Regulacja Ekspresji Genu. Folia Med. Lodz. 2012;39:293–326.",bryś m laskowska m forma e krześlak a telomerazastruktura i funkcja oraz regulacja ekspresji genu folia med lodz 201239293326,"['bryś', 'm', 'laskowska', 'm', 'forma', 'e', 'krześlak', 'a', 'telomerazastruktura', 'i', 'funkcja', 'oraz', 'regulacja', 'ekspresji', 'genu', 'folia', 'med', 'lodz', '201239293326']","['bryś', 'm', 'laskowska', 'm', 'forma', 'e', 'krześlak', 'a', 'telomerazastruktura', 'i', 'funkcja', 'oraz', 'regulacja', 'ekspresji', 'genu', 'folia', 'med', 'lodz', '201239293326']","['bryś', 'm', 'laskowska', 'm', 'forma', 'e', 'krześlak', 'a', 'telomerazastruktura', 'i', 'funkcja', 'oraz', 'regulacja', 'ekspresji', 'genu', 'folium', 'med', 'lodz', '201239293326']"
"Xu Y., Goldkorn A. Telomere and Telomerase Therapeutics in Cancer. Genes. 2016;7:22. doi: 10.3390/genes7060022.",xu y goldkorn a telomere and telomerase therapeutics in cancer genes 2016722 doi 103390genes7060022,"['xu', 'y', 'goldkorn', 'a', 'telomere', 'and', 'telomerase', 'therapeutics', 'in', 'cancer', 'genes', '2016722', 'doi', '103390genes7060022']","['xu', 'y', 'goldkorn', 'a', 'telomer', 'and', 'telomeras', 'therapeut', 'in', 'cancer', 'gene', '2016722', 'doi', '103390genes7060022']","['xu', 'y', 'goldkorn', 'a', 'telomere', 'and', 'telomerase', 'therapeutic', 'in', 'cancer', 'gene', '2016722', 'doi', '103390genes7060022']"
-,,[],[],[]
DOI,doi,['doi'],['doi'],['doi']
-,,[],[],[]
PMC,pmc,['pmc'],['pmc'],['pmc']
-,,[],[],[]
PubMed,pubmed,['pubmed'],['pubm'],['pubmed']
"Krzakowski K., Krzemieniecki K. Wybrane Nowotwory: Rak Piersi. In: Gajewski P., Szczeklik A., editors. Interna Szczeklika. Medycyna Praktyczna; Kraków, Poland: 2017. pp. 2325–2329.",krzakowski k krzemieniecki k wybrane nowotwory rak piersi in gajewski p szczeklik a editors interna szczeklika medycyna praktyczna kraków poland 2017 pp 23252329,"['krzakowski', 'k', 'krzemieniecki', 'k', 'wybrane', 'nowotwory', 'rak', 'piersi', 'in', 'gajewski', 'p', 'szczeklik', 'a', 'editors', 'interna', 'szczeklika', 'medycyna', 'praktyczna', 'kraków', 'poland', '2017', 'pp', '23252329']","['krzakowski', 'k', 'krzemieniecki', 'k', 'wybran', 'nowotwori', 'rak', 'piersi', 'in', 'gajewski', 'p', 'szczeklik', 'a', 'editor', 'interna', 'szczeklika', 'medycyna', 'praktyczna', 'kraków', 'poland', '2017', 'pp', '23252329']","['krzakowski', 'k', 'krzemieniecki', 'k', 'wybrane', 'nowotwory', 'rak', 'piersi', 'in', 'gajewski', 'p', 'szczeklik', 'a', 'editor', 'interna', 'szczeklika', 'medycyna', 'praktyczna', 'kraków', 'poland', '2017', 'pp', '23252329']"
Show all 105 references,show all 105 references,"['show', 'all', '105', 'references']","['show', 'all', '105', 'refer']","['show', 'all', '105', 'reference']"
Publication types,publication types,"['publication', 'types']","['public', 'type']","['publication', 'type']"
Review,review,['review'],['review'],['review']
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
MeSH terms,mesh terms,"['mesh', 'terms']","['mesh', 'term']","['mesh', 'term']"
Breast Neoplasms* / drug therapy,breast neoplasms drug therapy,"['breast', 'neoplasms', 'drug', 'therapy']","['breast', 'neoplasm', 'drug', 'therapi']","['breast', 'neoplasm', 'drug', 'therapy']"
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Breast Neoplasms* / genetics,breast neoplasms genetics,"['breast', 'neoplasms', 'genetics']","['breast', 'neoplasm', 'genet']","['breast', 'neoplasm', 'genetics']"
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Enzyme Inhibitors / therapeutic use,enzyme inhibitors therapeutic use,"['enzyme', 'inhibitors', 'therapeutic', 'use']","['enzym', 'inhibitor', 'therapeut', 'use']","['enzyme', 'inhibitor', 'therapeutic', 'use']"
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Female,female,['female'],['femal'],['female']
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Humans,humans,['humans'],['human'],['human']
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Immunotherapy,immunotherapy,['immunotherapy'],['immunotherapi'],['immunotherapy']
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Neoplasms* / pathology,neoplasms pathology,"['neoplasms', 'pathology']","['neoplasm', 'patholog']","['neoplasm', 'pathology']"
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Telomerase* / metabolism,telomerase metabolism,"['telomerase', 'metabolism']","['telomeras', 'metabol']","['telomerase', 'metabolism']"
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Telomere / metabolism,telomere metabolism,"['telomere', 'metabolism']","['telomer', 'metabol']","['telomere', 'metabolism']"
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Substances,substances,['substances'],['substanc'],['substance']
Telomerase,telomerase,['telomerase'],['telomeras'],['telomerase']
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Enzyme Inhibitors,enzyme inhibitors,"['enzyme', 'inhibitors']","['enzym', 'inhibitor']","['enzyme', 'inhibitor']"
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in MeSH,search in mesh,"['search', 'in', 'mesh']","['search', 'in', 'mesh']","['search', 'in', 'mesh']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
Related information,related information,"['related', 'information']","['relat', 'inform']","['related', 'information']"
MedGen,medgen,['medgen'],['medgen'],['medgen']
Grants and funding,grants and funding,"['grants', 'and', 'funding']","['grant', 'and', 'fund']","['grant', 'and', 'funding']"
This work was funded by Poznan University of Medical Sciences.,this work was funded by poznan university of medical sciences,"['this', 'work', 'was', 'funded', 'by', 'poznan', 'university', 'of', 'medical', 'sciences']","['thi', 'work', 'wa', 'fund', 'by', 'poznan', 'univers', 'of', 'medic', 'scienc']","['this', 'work', 'wa', 'funded', 'by', 'poznan', 'university', 'of', 'medical', 'science']"
LinkOut - more resources,linkout more resources,"['linkout', 'more', 'resources']","['linkout', 'more', 'resourc']","['linkout', 'more', 'resource']"
Full Text Sources,full text sources,"['full', 'text', 'sources']","['full', 'text', 'sourc']","['full', 'text', 'source']"
Europe PubMed Central,europe pubmed central,"['europe', 'pubmed', 'central']","['europ', 'pubm', 'central']","['europe', 'pubmed', 'central']"
MDPI,mdpi,['mdpi'],['mdpi'],['mdpi']
PubMed Central,pubmed central,"['pubmed', 'central']","['pubm', 'central']","['pubmed', 'central']"
Medical,medical,['medical'],['medic'],['medical']
MedlinePlus Health Information,medlineplus health information,"['medlineplus', 'health', 'information']","['medlineplu', 'health', 'inform']","['medlineplus', 'health', 'information']"
Full text links,full text links,"['full', 'text', 'links']","['full', 'text', 'link']","['full', 'text', 'link']"
[x],x,['x'],['x'],['x']
MDPI,mdpi,['mdpi'],['mdpi'],['mdpi']
Free PMC article,free pmc article,"['free', 'pmc', 'article']","['free', 'pmc', 'articl']","['free', 'pmc', 'article']"
[x],x,['x'],['x'],['x']
Cite,cite,['cite'],['cite'],['cite']
Copy,copy,['copy'],['copi'],['copy']
Download .nbib,download nbib,"['download', 'nbib']","['download', 'nbib']","['download', 'nbib']"
.nbib,nbib,['nbib'],['nbib'],['nbib']
Format:,format,['format'],['format'],['format']
AMA,ama,['ama'],['ama'],['ama']
APA,apa,['apa'],['apa'],['apa']
MLA,mla,['mla'],['mla'],['mla']
NLM,nlm,['nlm'],['nlm'],['nlm']
Send To,send to,"['send', 'to']","['send', 'to']","['send', 'to']"
Clipboard,clipboard,['clipboard'],['clipboard'],['clipboard']
Email,email,['email'],['email'],['email']
Save,save,['save'],['save'],['save']
My Bibliography,my bibliography,"['my', 'bibliography']","['my', 'bibliographi']","['my', 'bibliography']"
Collections,collections,['collections'],['collect'],['collection']
Citation Manager,citation manager,"['citation', 'manager']","['citat', 'manag']","['citation', 'manager']"
[x],x,['x'],['x'],['x']
NCBI Literature Resources,ncbi literature resources,"['ncbi', 'literature', 'resources']","['ncbi', 'literatur', 'resourc']","['ncbi', 'literature', 'resource']"
MeSH,mesh,['mesh'],['mesh'],['mesh']
PMC,pmc,['pmc'],['pmc'],['pmc']
Bookshelf,bookshelf,['bookshelf'],['bookshelf'],['bookshelf']
Disclaimer,disclaimer,['disclaimer'],['disclaim'],['disclaimer']
The PubMed wordmark and PubMed logo are registered trademarks of the U.S. Department of Health and Human Services (HHS). Unauthorized use of these marks is strictly prohibited.,the pubmed wordmark and pubmed logo are registered trademarks of the us department of health and human services hhs unauthorized use of these marks is strictly prohibited,"['the', 'pubmed', 'wordmark', 'and', 'pubmed', 'logo', 'are', 'registered', 'trademarks', 'of', 'the', 'us', 'department', 'of', 'health', 'and', 'human', 'services', 'hhs', 'unauthorized', 'use', 'of', 'these', 'marks', 'is', 'strictly', 'prohibited']","['the', 'pubm', 'wordmark', 'and', 'pubm', 'logo', 'are', 'regist', 'trademark', 'of', 'the', 'us', 'depart', 'of', 'health', 'and', 'human', 'servic', 'hh', 'unauthor', 'use', 'of', 'these', 'mark', 'is', 'strictli', 'prohibit']","['the', 'pubmed', 'wordmark', 'and', 'pubmed', 'logo', 'are', 'registered', 'trademark', 'of', 'the', 'u', 'department', 'of', 'health', 'and', 'human', 'service', 'hhs', 'unauthorized', 'use', 'of', 'these', 'mark', 'is', 'strictly', 'prohibited']"
Follow NCBI,follow ncbi,"['follow', 'ncbi']","['follow', 'ncbi']","['follow', 'ncbi']"
Twitter,twitter,['twitter'],['twitter'],['twitter']
Facebook,facebook,['facebook'],['facebook'],['facebook']
LinkedIn,linkedin,['linkedin'],['linkedin'],['linkedin']
GitHub,github,['github'],['github'],['github']
Connect with NLM,connect with nlm,"['connect', 'with', 'nlm']","['connect', 'with', 'nlm']","['connect', 'with', 'nlm']"
Twitter,twitter,['twitter'],['twitter'],['twitter']
SM-Facebook,smfacebook,['smfacebook'],['smfacebook'],['smfacebook']
SM-Youtube,smyoutube,['smyoutube'],['smyoutub'],['smyoutube']
National Library of Medicine,national library of medicine,"['national', 'library', 'of', 'medicine']","['nation', 'librari', 'of', 'medicin']","['national', 'library', 'of', 'medicine']"
8600 Rockville Pike,8600 rockville pike,"['8600', 'rockville', 'pike']","['8600', 'rockvil', 'pike']","['8600', 'rockville', 'pike']"
"Bethesda, MD 20894",bethesda md 20894,"['bethesda', 'md', '20894']","['bethesda', 'md', '20894']","['bethesda', 'md', '20894']"
Web Policies,web policies,"['web', 'policies']","['web', 'polici']","['web', 'policy']"
FOIA,foia,['foia'],['foia'],['foia']
HHS Vulnerability Disclosure,hhs vulnerability disclosure,"['hhs', 'vulnerability', 'disclosure']","['hh', 'vulner', 'disclosur']","['hhs', 'vulnerability', 'disclosure']"
Help,help,['help'],['help'],['help']
Accessibility,accessibility,['accessibility'],['access'],['accessibility']
Careers,careers,['careers'],['career'],['career']
NLM,nlm,['nlm'],['nlm'],['nlm']
NIH,nih,['nih'],['nih'],['nih']
HHS,hhs,['hhs'],['hh'],['hhs']
USA.gov,usagov,['usagov'],['usagov'],['usagov']
